molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled,ROMol
CHEMBL3969403,0.0002,nM,CC1(C)C(N)=N[C@](C)(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)CS1(=O)=O,12.69897000433602,429.12708872,7,2,2.12408,True,<rdkit.Chem.rdchem.Mol object at 0x794371fe2a50>
CHEMBL3937515,0.0009,nM,COc1cnc(C(=O)Nc2ccc(F)c([C@]3(C)CS(=O)(=O)C(C)(C)C(N)=N3)c2)cn1,12.045757490560677,435.1376534040001,8,2,1.656,True,<rdkit.Chem.rdchem.Mol object at 0x794371fe29e0>
CHEMBL3949213,0.001,nM,C[C@@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)CS(=O)(=O)C2(CCCC2)C(N)=N1,12.0,455.142738784,7,2,2.6582800000000004,True,<rdkit.Chem.rdchem.Mol object at 0x794371fe2970>
CHEMBL3955051,0.0018,nM,CC1(C)C(N)=N[C@](C)(c2cc(NC(=O)c3cnc(C(F)F)cn3)ccc2F)CS1(=O)=O,11.744727494896694,455.12389516,7,2,2.585000000000001,True,<rdkit.Chem.rdchem.Mol object at 0x794371fe2900>
CHEMBL3936264,0.0057,nM,C[C@@]1(c2cc(NC(=O)c3ccc(OC(F)F)cn3)ccc2F)CS(=O)(=O)CC(N)=N1,11.244125144327509,442.09226068400005,7,2,2.0752,True,<rdkit.Chem.rdchem.Mol object at 0x794371fe2890>
CHEMBL3958332,0.0061,nM,C[C@@]1(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)CS(=O)(=O)CC(N)=N1,11.214670164989233,410.0615672720001,6,2,2.1272,True,<rdkit.Chem.rdchem.Mol object at 0x794371fe2820>
CHEMBL3930841,0.0082,nM,C[C@@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)CS(=O)(=O)CC(N)=N1,11.086186147616283,401.095788592,7,2,1.3454800000000002,True,<rdkit.Chem.rdchem.Mol object at 0x794371fe27b0>
CHEMBL3982593,0.011,nM,C[C@@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)CSCC(N)=N1,10.958607314841776,369.105959352,6,2,2.6638800000000007,True,<rdkit.Chem.rdchem.Mol object at 0x794371fe2740>
CHEMBL4088234,0.024,nM,C[C@@H]1C[C@@](C)(c2cc(CNC3(C(F)(F)F)CC3)c(F)cc2F)N=C(N)S1,10.619788758288394,393.12980974,4,2,4.204600000000003,True,<rdkit.Chem.rdchem.Mol object at 0x794371fe26d0>
CHEMBL4212046,0.033,nM,COc1cccc(NC(=O)c2cnc([C@]34CO[C@@H](C)C[C@H]3CSC(N)=N4)s2)n1,10.481486060122112,419.1085815320002,9,2,2.4808,True,<rdkit.Chem.rdchem.Mol object at 0x794371fe2660>
CHEMBL4217023,0.034,nM,COc1ccc(C(=O)Nc2csc([C@]34CO[C@@H](C)C[C@H]3CSC(N)=N4)n2)cc1,10.468521082957745,418.1133325640001,8,2,3.0858000000000008,True,<rdkit.Chem.rdchem.Mol object at 0x794371fe25f0>
CHEMBL4561849,0.09,nM,Cc1cc(C#N)cnc1C(=O)Nc1ccc(F)c([C@@]2(C)N=C(N)C(C)(C)[S@@]3(=O)=NCC[C@@H]23)c1,10.045757490560677,468.17437326,7,2,3.258000000000002,True,<rdkit.Chem.rdchem.Mol object at 0x794371fe2580>
CHEMBL3680900,0.1,nM,CC#CCOc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C)N=C(N)OC[C@]3(C)F)c2)cn1,10.0,429.1612459720001,7,2,2.5584000000000007,True,<rdkit.Chem.rdchem.Mol object at 0x794371fe2510>
CHEMBL4203860,0.11,nM,COc1cccc(NC(=O)c2cnc([C@]34CO[C@@H](C)C[C@H]3CSC(N)=N4)s2)c1,9.958607314841776,418.1133325640001,8,2,3.0858000000000008,True,<rdkit.Chem.rdchem.Mol object at 0x794371fe24a0>
CHEMBL2047041,0.15,nM,CC(C)c1cccc(CNC[C@@H](O)[C@@H]2COC/C=C/C[C@H](c3ccccc3)NC(=O)c3cc(cc(N(C)S(C)(=O)=O)c3)C(=O)N2)c1,9.82390874094432,648.2981561280001,7,4,3.9025000000000016,True,<rdkit.Chem.rdchem.Mol object at 0x794371fe2430>
CHEMBL2177305,0.15,nM,CCn1cc([C@]2(c3cccc(NC(=O)c4ccc(Cl)cn4)c3)N=C(N)c3c(F)cccc32)cc(C)c1=O,9.82390874094432,515.152430876,6,2,4.627220000000003,True,<rdkit.Chem.rdchem.Mol object at 0x794371fe23c0>
CHEMBL4564324,0.157,nM,CC(F)(F)[C@H]1OC[C@]2(c3cc(NC(=O)c4ccc(C#N)cn4)ccc3F)N=C(N)SC[C@H]12,9.804100347590769,461.113330476,7,2,3.271680000000001,True,<rdkit.Chem.rdchem.Mol object at 0x794371fe2350>
CHEMBL3741617,0.2,nM,CC#CCOc1cnc(C(=O)Nc2ccc(F)c([C@]3(C)C[S@@]4(=O)=NCCCCN4C(N)=N3)c2)cn1,9.69897000433602,499.1801869120001,8,2,2.2924000000000007,True,<rdkit.Chem.rdchem.Mol object at 0x794371fe2270>
CHEMBL4588608,0.2,nM,Cc1cc(C#N)cnc1C(=O)Nc1ccc(F)c([C@]2(C)CS3(=O)=NCCCCC3(C)C(N)=N2)c1,9.69897000433602,482.190023324,7,2,3.649700000000002,True,<rdkit.Chem.rdchem.Mol object at 0x794371fe2120>
