molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
CHEMBL2058868,5390.0,nM,O[C@H](CSc1ccc2ccccc2c1)Cn1c2ccccc2c2ccccc21,5.268411234813262,383.13438529200005,3,1,6.100900000000005,True
CHEMBL384496,5400.0,nM,CC[C@H](NCC1Cc2cccc(c2)OCCNC(=O)c2cc(cc(N(C)S(C)(=O)=O)c2)C(=O)N1)C(=O)NCC(C)C,5.267606240177032,587.277755032,7,4,1.686100000000003,True
CHEMBL3650192,5400.0,nM,CCOc1cc([C@H]2C[C@H]3CSC(N)=N[C@@]3(c3ccc(F)cc3F)CO2)nn1C,5.267606240177032,408.143153384,7,1,3.1316000000000015,True
CHEMBL402120,5400.0,nM,C[C@H](NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(S(C)(=O)=O)c1)C(=O)NC1CCCCC1,5.267606240177032,515.245392284,6,4,2.219099999999999,True
CHEMBL2346789,5410.0,nM,Cc1ccc2c(c1)CC(C)(C)N=C2N[C@@H](Cc1ccccc1)C(=O)O,5.266802734893431,336.18377800799993,3,2,3.3618200000000016,True
CHEMBL202015,5500.0,nM,CN(c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC2CC2)cc(C(O)Cc2ccccc2)c1)S(C)(=O)=O,5.259637310505756,551.2453922839999,6,4,2.812500000000001,True
CHEMBL1210335,5500.0,nM,C[C@H](NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(NS(=O)(=O)Cc2ccccc2)c1)C(=O)NC1CCCCC1,5.259637310505756,606.287591444,6,5,3.757500000000001,True
CHEMBL1923706,5511.0,nM,CC(C)(C)Nc1c(-c2ccc(-c3nc4ccccc4[nH]3)cc2)nc2ccccn12,5.25876958897453,381.1953457360001,4,2,5.755000000000005,True
CHEMBL3673189,5550.0,nM,N#Cc1cc(C23CO[C@@H](CO)C[C@H]2CSC(N)=N3)c(F)cc1F,5.255707016877324,339.08530416,6,2,1.4906800000000002,True
CHEMBL410865,5590.0,nM,CN(C)c1cccc(CNC[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CN(Cc3cc(F)c(F)cc3F)C(=O)N2)c1,5.252588192113577,569.261374608,5,4,2.9419000000000004,True
CHEMBL1933457,5590.0,nM,Nc1nc(Cc2ccc(-c3ccc(C(F)(F)F)cc3)cc2)cn1Cc1cc(F)cc(F)c1,5.252588192113577,443.142088676,3,1,6.068400000000004,True
CHEMBL227758,5600.0,nM,CC(C)C[C@H](NC(=O)c1cc(C(=O)NCc2ccccc2)cc(N(C)S(C)(=O)=O)c1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NC(C)C)C(C)C,5.251811972993799,687.366570036,7,5,3.209400000000003,True
CHEMBL3642610,5600.0,nM,CC1(c2cccc(NCc3ccc(Cl)cc3)c2)CCSC(N)=N1,5.251811972993799,345.10664632000004,4,2,4.618900000000004,True
CHEMBL3938609,5600.0,nM,NC1=N[C@](CF)(c2cc(C#Cc3cccc4cc[nH]c34)ccc2F)C[C@@H](C(F)(F)F)O1,5.251811972993799,433.121353232,3,2,4.537500000000002,True
CHEMBL222274,5600.0,nM,Cc1c(O)cc2oc3c(c(=O)c2c1O)-c1ccc(O)cc1OC3O,5.251811972993799,328.058302724,7,4,2.26852,True
CHEMBL2158258,5600.0,nM,CC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN[C@@H]1CC(C)(C)Cc2nn(CC(C)C)cc21,5.251811972993799,426.29947645600004,5,3,3.2505000000000015,True
CHEMBL252755,5614.0,nM,CCCC(C)S(=O)(=O)CCC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNCc1cccc(OC)c1,5.25072759170158,490.25014331599994,6,3,2.8667000000000007,True
CHEMBL3943708,5620.0,nM,NC1=N[C@](CF)(c2cc(C#Cc3cccc4[nH]ccc34)ccc2F)C[C@@H](C(F)(F)F)O1,5.250263684430939,433.121353232,3,2,4.537500000000002,True
CHEMBL5280671,5640.0,nM,COc1cc(O)cc(-c2cc3ccc(O)c(C/C=C(\C)CCC=C(C)C)c3o2)c1CC=C(C)C,5.248720896016658,460.26135963199994,4,2,8.263500000000006,True
CHEMBL235754,5700.0,nM,COc1cccc(-c2cccc(CCc3cc(=O)n(C)c(N)n3)c2)c1,5.2441251443275085,335.1633769120001,5,1,2.8232999999999997,True
CHEMBL3642620,5700.0,nM,CC1(c2cccc(OCC(=O)Nc3ccc(F)cc3)c2)CCSC(N)=N1,5.2441251443275085,373.1260261000001,5,2,3.5100000000000016,True
CHEMBL494015,5700.0,nM,COc1ccc(C(Cc2cc([N+](=O)[O-])ccc2OC)c2c[nH]c(N)n2)cc1,5.2441251443275085,368.14845512000005,6,2,3.291900000000001,True
CHEMBL4648247,5700.0,nM,COC(=O)[C@H]1OCC(=S)N[C@@H]1c1ccc(OC)cc1,5.2441251443275085,281.07217896000003,5,1,1.2250999999999996,True
CHEMBL116438,5700.0,nM,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O,5.2441251443275085,368.12598835999995,6,3,3.852600000000003,True
CHEMBL1082893,5720.0,nM,C[C@@H](NC(=O)c1cc(CNC(=O)C(C)(N)Cc2ccccc2)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1,5.242603971206976,540.2206547559999,5,3,3.288800000000003,True
CHEMBL2349489,5738.0,nM,CC1(C)Cc2ccc(-c3cncc(Cl)c3)cc2C2(CCSC(N)=N2)C1,5.24123945609002,371.1222963840001,4,1,5.0213000000000045,True
CHEMBL260634,5740.0,nM,CN(C)c1cccc(CNC[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CN(Cc3ccc(F)c(F)c3)C(=O)N2)c1,5.241088107602026,551.27079642,5,4,2.8028000000000004,True
CHEMBL254273,5750.0,nM,CCNc1cc(C(=O)N[C@@H](C(C)C)[C@H](O)CNCc2cccc(OC)c2)cc(N2CCCCS2(=O)=O)c1,5.2403321553103694,532.2719413799999,7,4,2.9621000000000004,True
CHEMBL2177337,5800.0,nM,COc1ccc2c(c1)C1(COC(N)=N1)c1cc(-c3ccnc(Cl)c3)ccc1O2,5.236572006437063,393.088019052,6,1,4.104800000000003,True
CHEMBL2349464,5840.0,nM,CC1(C)Cc2ccc(-c3cncc(F)c3)cc2C2(COC(N)=N2)C1,5.2335871528876,325.15904048000004,4,1,3.4003000000000014,True
CHEMBL4216181,5850.0,nM,C=C1C[C@H]2[C@]3(C)CCC(=O)C(C)(C)[C@@H]3C(=O)[C@@H](O)[C@]2(C)[C@H]2C(=O)O[C@@H](C)C(=O)[C@]12C,5.232844133917819,416.2198887439999,6,1,2.6609000000000007,True
CHEMBL3936965,5860.0,nM,COCc1cc(C(=O)Nc2csc([C@]34CO[C@@H](C)C[C@H]3CSC(N)=N4)n2)no1,5.23210238398191,423.1034961520001,10,2,2.2116,True
