molecule_chembl_id,IC50,units,smiles,pIC50
CHEMBL3394221,0.3,nM,NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1c2cc(C2=CCOCC2)nc1F,9.522878745280337
CHEMBL3260838,0.3,nM,CN1C(=O)C2(N=C1N)c1cc(-c3cccnc3)ccc1Oc1ccc(-c3cccnc3)cc12,9.522878745280337
CHEMBL3394220,0.3,nM,NC1=N[C@@]2(CO1)c1cc(-c3ncccc3F)ccc1Oc1c2cc(C2=CCCOC2)nc1F,9.522878745280337
CHEMBL4284110,0.31,nM,CC#Cc1cncc(-c2ccc3c(c2)[C@@]2(COC(N)=N2)c2cc(C4=CCOCC4)ncc2O3)c1,9.508638306165727
CHEMBL573106,0.32,nM,CO[C@H](C[C@H](O)[C@H](COc1cc(F)cc(F)c1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1)C(=O)N[C@H](C(=O)NCc1ccccc1)C(C)C,9.494850021680094
CHEMBL3667414,0.358,nM,[C-]#[N+]c1ccc(C(=O)Nc2ccc(F)c([C@]34CN(c5ncc(F)cn5)C[C@H]3CSC(N)=N4)c2)nc1,9.446116973356126
CHEMBL2177303,0.38,nM,CC#Cc1cncc(-c2cccc([C@@]3(c4cc(C)c(=O)n(CC)c4)N=C(N)c4c(F)cc(F)cc43)c2)c1,9.42021640338319
CHEMBL4473955,0.385,nM,CC(F)(F)[C@H]1OC[C@]2(c3cc(NC(=O)c4cnc(-n5cncn5)cn4)ccc3F)N=C(N)SC[C@H]12,9.414539270491499
CHEMBL4453037,0.391,nM,C[C@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)N=C(N)O[C@H]2[C@@H]1OCC2(F)F,9.407823242604133
CHEMBL3680889,0.4,nM,C[C@]1(F)COC(N)=N[C@]1(C)c1cc(NC(=O)c2ccc(C#N)cn2)ccc1F,9.397940008672037
CHEMBL3677275,0.4,nM,Cc1ccc(-c2cc(F)c3c(c2)[C@@]2(N=C(N)n4ccnc42)c2cc(-c4cccnc4F)ccc2O3)cc1,9.397940008672037
CHEMBL3970753,0.4,nM,COc1ccc(C(=O)Nc2ccc3c(c2)C2(CCSC(N)=N2)c2cc(-c4ccnc(F)c4)nc(F)c2O3)nc1,9.397940008672037
CHEMBL3394212,0.4,nM,NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1c2cc(-c2ccncc2)nc1F,9.397940008672037
CHEMBL3680854,0.4,nM,C[C@]1(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)N=C(N)OC[C@@H]1F,9.397940008672037
CHEMBL3394213,0.4,nM,Cc1ccc(-c2cc3c(c(F)n2)Oc2ccc(-c4cccnc4F)cc2[C@@]32COC(N)=N2)cn1,9.397940008672037
CHEMBL3394217,0.4,nM,NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1c2cc(-c2ccnc(F)c2)nc1F,9.397940008672037
CHEMBL3677273,0.4,nM,NC1=N[C@]2(c3cc(-c4cccnc4F)ccc3Oc3c(F)cc(C4=CCCOC4)cc32)c2nccn21,9.397940008672037
CHEMBL3968517,0.4,nM,CC#CCOc1cnc(C(=O)Nc2ccc3c(c2)C2(CCOC(N)=N2)c2cc(Cl)nc(F)c2O3)cn1,9.397940008672037
CHEMBL5093088,0.4,nM,C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c([C@@]3(C)N=C(N)S[C@@]4(COC)CC43)c2)cn1,9.397940008672037
CHEMBL4475533,0.4,nM,CNC(=O)[C@]12C[C@H]1[C@@](C)(c1cc(NC(=O)c3ccc(Cl)cn3)cc(F)c1F)N=C(N)S2,9.397940008672037
